時間,編號,雲量,時雨量,濕度,風向,風速,溫度,能見度
2017031809,1,80.8,0.0,91.2,84.0,6.9,24.3,10.2
2017031809,2,80.2,0.0,91.2,83.1,6.9,24.3,10.2
2017031809,3,79.6,0.0,91.2,82.9,6.9,24.3,10.2
2017031809,4,79.1,0.0,91.2,82.9,6.9,24.3,10.2
2017031809,5,78.6,0.0,91.3,82.7,6.8,24.3,10.3
2017031809,6,78.2,0.0,91.5,82.5,6.8,24.3,10.3
2017031809,7,77.8,0.0,91.6,82.2,6.7,24.3,10.3
2017031809,8,77.3,0.0,91.7,81.9,6.7,24.3,10.3
2017031809,9,76.8,0.0,91.7,81.8,6.6,24.3,10.4
2017031809,10,76.2,0.0,91.6,81.7,6.6,24.3,10.4
2017031809,11,75.7,0.0,91.6,81.8,6.6,24.3,10.4
2017031809,12,75.5,0.0,91.7,81.7,6.6,24.3,10.4
2017031809,13,75.3,0.0,91.8,81.6,6.5,24.3,10.4
2017031809,14,74.9,0.0,91.7,81.3,6.5,24.3,10.5
2017031809,15,74.5,0.0,91.6,80.9,6.5,24.3,10.5
2017031809,16,74.3,0.0,91.7,80.9,6.5,24.3,10.5
2017031809,17,74.1,0.0,91.8,81.0,6.4,24.3,10.5
2017031809,18,73.8,0.0,91.9,80.8,6.4,24.3,10.5
2017031809,19,73.5,0.0,91.8,80.7,6.4,24.3,10.5
2017031809,20,73.2,0.0,91.8,80.9,6.4,24.3,10.5
2017031809,21,73.1,0.0,92.0,80.6,6.4,24.3,10.5
2017031809,22,73.0,0.0,92.1,81.0,6.3,24.3,10.5
2017031809,23,72.7,0.0,92.0,80.8,6.3,24.3,10.6
2017031809,24,72.3,0.0,91.9,80.8,6.4,24.3,10.6
2017031809,25,71.9,0.0,91.7,81.0,6.4,24.4,10.6
2017031809,26,71.6,0.0,91.6,81.3,6.5,24.4,10.6
2017031809,27,71.2,0.0,91.4,81.4,6.6,24.4,10.7
2017031809,28,70.8,0.0,91.2,81.5,6.6,24.5,10.7
2017031809,29,70.6,0.0,91.2,81.6,6.7,24.5,10.7
2017031809,30,70.5,0.0,91.4,81.7,6.6,24.5,10.7
2017031809,31,70.3,0.0,91.5,81.7,6.6,24.4,10.7
2017031809,32,70.0,0.0,91.3,81.9,6.7,24.5,10.7
2017031809,33,69.5,0.0,91.2,82.1,6.8,24.5,10.8
2017031809,34,69.2,0.0,91.2,82.2,6.8,24.5,10.8
2017031809,35,69.2,0.0,91.2,82.4,6.9,24.5,10.8
2017031809,36,69.1,0.0,91.1,82.4,6.9,24.5,10.8
2017031809,37,68.9,0.0,91.0,82.4,7.0,24.5,10.8
2017031809,38,68.9,0.0,90.9,82.7,7.1,24.6,10.8
2017031809,39,69.0,0.0,91.0,82.8,7.1,24.5,10.8
2017031809,40,69.2,0.0,91.0,82.8,7.1,24.5,10.8
2017031809,41,69.3,0.0,90.9,82.9,7.1,24.6,10.8
2017031809,42,69.3,0.0,90.8,83.0,7.2,24.6,10.8
2017031809,43,69.3,0.0,90.8,83.1,7.2,24.6,10.8
2017031809,44,69.2,0.0,90.7,83.2,7.3,24.6,10.8
2017031809,45,69.0,0.0,90.4,83.4,7.4,24.7,10.8
2017031809,46,68.7,0.0,90.1,83.6,7.5,24.7,10.9
2017031809,47,68.5,0.0,90.1,83.7,7.5,24.8,10.9
2017031809,48,68.6,0.0,90.2,83.8,7.5,24.7,10.9
2017031809,49,68.5,0.0,90.3,83.8,7.5,24.7,10.9
2017031809,50,68.3,0.0,90.3,83.7,7.5,24.7,10.9
2017031809,51,67.9,0.0,90.3,84.0,7.5,24.7,10.9
2017031809,52,67.5,0.0,90.2,84.1,7.5,24.8,11.0
