縣市,城市編號,城市名,預報時間,氣溫,體感溫,風速,風向,氣壓,濕度,露點溫度,雲量,時雨量,預報信心,藍天指數,喝水指數,能見度,濃霧
臺中市,100,南屯區,2017012300,13.6,8.9,3.3,25,1024,75,9.2,7,0,95,5,1,15,1
臺中市,100,南屯區,2017012301,13.3,9.2,2.2,21,1023,79,9.7,5,0,90,5,1,14,1
臺中市,100,南屯區,2017012302,12.9,9.1,1.8,29,1023,81,9.7,8,0,85,5,1,14,1
臺中市,100,南屯區,2017012303,12.6,8.8,2.1,211,1023,82,9.6,12,0,85,5,0,14,1
臺中市,100,南屯區,2017012304,12.6,8.7,2.3,208,1023,81,9.4,15,0,70,5,0,14,1
臺中市,100,南屯區,2017012305,12.7,8.4,2.8,209,1023,79,9.2,10,0,60,5,0,14,1
臺中市,100,南屯區,2017012306,12.8,8.5,2.9,146,1024,79,9.2,12,0,60,5,0,14,1
臺中市,100,南屯區,2017012307,13.5,11,2.9,18,1024,77,9.5,21,0,70,5,1,14,1
臺中市,100,南屯區,2017012308,16,16,3,20,1024,65,9.4,23,0,75,5,3,15,1
臺中市,100,南屯區,2017012309,18.3,19.7,3.3,162,1024,61,10.6,27,0,80,5,4,16,1
臺中市,100,南屯區,2017012310,20.1,22.6,3.3,217,1024,58,11.4,26,0,85,5,5,16,1
臺中市,100,南屯區,2017012311,21.5,24.4,3.4,312,1024,56,12.3,27,0,85,5,6,16,1
臺中市,100,南屯區,2017012312,21.4,22.2,3.6,308,1024,59,13,29,0,90,5,5,16,1
臺中市,100,南屯區,2017012313,21.7,22.8,4.4,319,1023,60,13.5,31,0,95,5,5,16,1
臺中市,100,南屯區,2017012314,22.2,24.1,4.9,319,1023,59,13.8,30,0,90,5,5,16,1
臺中市,100,南屯區,2017012315,21.3,21.8,5.7,354,1023,62,13.8,21,0,90,5,5,16,1
臺中市,100,南屯區,2017012316,20.1,19.2,5.5,321,1023,65,13.3,21,0,95,5,4,15,1
臺中市,100,南屯區,2017012317,18.4,16.2,4.8,162,1023,70,12.9,33,0,90,5,3,14,1
臺中市,100,南屯區,2017012318,16.8,12.6,4.3,220,1023,76,12.5,39,0,85,5,1,13,1
臺中市,100,南屯區,2017012319,15.5,11.8,3.2,206,1024,81,12.2,36,0,95,5,1,13,1
臺中市,100,南屯區,2017012320,15,11.5,2.7,208,1024,83,12.1,34,0,95,5,1,13,1
臺中市,100,南屯區,2017012321,15.1,11.9,2.4,345,1024,82,12,37,0,95,5,1,12,1
臺中市,100,南屯區,2017012322,15.1,12.4,1.8,163,1024,82,12,43,0,90,5,1,12,1
臺中市,100,南屯區,2017012323,15.1,12.9,1.4,27,1024,83,12.2,47,0,95,4,1,12,1
臺中市,100,南屯區,2017012400,15.6,14,0.8,28,1024,81,12.3,49,0,90,4,1,12,1
臺中市,100,南屯區,2017012401,15.8,14.6,0.5,48,1024,80,12.4,49,0,90,4,2,12,1
臺中市,100,南屯區,2017012402,16,14.7,0.6,311,1024,80,12.6,51,0,90,4,2,12,1
臺中市,100,南屯區,2017012403,16.1,15,0.5,213,1024,80,12.6,53,0,85,3,2,12,1
臺中市,100,南屯區,2017012404,16,14.4,1,65,1024,82,12.8,58,0,85,3,2,12,1
臺中市,100,南屯區,2017012405,15.8,14.2,1.1,15,1024,84,13.1,59,0,85,3,1,11,1
臺中市,100,南屯區,2017012406,15.6,13.8,1.3,208,1024,88,13.6,64,0.1,85,3,1,11,1
