縣市,城市編號,城市名,預報時間,氣溫,體感溫,風速,風向,氣壓,濕度,露點溫度,雲量,時雨量,預報信心,藍天指數,喝水指數,能見度,濃霧
臺中市,100,南屯區,2017012220,17,10.2,8.1,8,1023,53,7.3,8,-,60,35.5417,1,18,1
臺中市,101,后里區,2017012220,17.4,10,8.8,15,1022,49,6.5,0,-,60,18.5658,1,19,1
臺中市,102,和平區,2017012220,14.5,10.5,1.7,25,1025,45,2.7,0,-,60,59.9533,2,20,1
臺中市,103,外埔區,2017012220,17.2,9.1,11.4,18,1023,56,8.3,1,-,60,11.5039,0,18,1
臺中市,104,大安區,2017012220,16.8,8,14,20,1024,64,10,2,-,60,5.67464,0,16,1
臺中市,105,大甲區,2017012220,17,8.5,12.8,20,1023,60,9.2,1,-,60,6.54515,0,17,1
臺中市,106,大肚區,2017012220,16.8,9,11.4,11,1023,61,9.2,8,-,60,29.3476,0,17,1
臺中市,107,大里區,2017012220,16.8,10.8,6.1,6,1024,51,6.5,10,-,60,40.2361,1,18,1
臺中市,108,大雅區,2017012220,17.4,9.8,9.8,12,1022,53,7.8,2,-,60,20.4973,0,18,1
臺中市,109,太平區,2017012220,16.8,11,5.3,7,1023,48,5.8,7,-,60,33.5284,1,19,1
臺北市,10,信義區,2017012220,12,6.5,5.9,80,1030,75,7.6,32,-,60,5,0,14,1
臺中市,110,新社區,2017012220,16.2,10.6,4.3,9,1024,44,4,0,-,60,36.6003,1,20,1
臺中市,111,東勢區,2017012220,15.9,10.4,4.2,11,1024,45,4,0,-,60,33.7245,1,20,1
臺中市,112,東區,2017012220,17,10.9,5.9,7,1023,48,6,7,-,60,32.3912,1,19,1
臺中市,113,梧棲區,2017012220,16.7,8,14.1,17,1023,67,10.5,4,-,60,11.5733,0,16,1
臺中市,114,沙鹿區,2017012220,16.9,8.6,12.6,15,1023,62,9.7,4,-,60,16.6084,0,17,1
臺中市,115,清水區,2017012220,16.9,8.3,13.5,17,1023,64,10.1,4,-,60,12.4048,0,16,1
臺中市,116,潭子區,2017012220,17.4,10.6,7.3,10,1022,48,6.1,1,-,60,19.9282,1,19,1
臺中市,117,烏日區,2017012220,16.9,10.2,7.9,7,1023,54,7.4,10,-,60,41.2306,1,18,1
